code;budget;poste;rubrique;;
61382;Fonctionnement;GARDIENNAGE;QUOTE PART CS;;
61387;Fonctionnement;FOND DE RESERVE;FOND DE RESERVE;;
61381;Fonctionnement;NETTOYAGE;FDM;;
61382;Fonctionnement;GARDIENNAGE;CHARGES SOCIALES;;
61383;Fonctionnement;JARDINAGE;MOD;;
61383;Fonctionnement;JARDINAGE;EMBILLISSEMENT & PLANTATION;;
61340;Fonctionnement;MAINTENANCE;ASCENSEURS;;
61360;Fonctionnement;ASSURANCES;ASS MULTIRISQUES ET RC;;
61430;Fonctionnement;JURIDIQUE;CONTANTIEUX/ HUISSIER DE JUSTICE;;
61350;Fonctionnement;DIVERS ENTRETIENS;TRAVAUX DE PLOMBERIE;;
61350;Fonctionnement;DIVERS ENTRETIENS;RECHARGE DES EXTINCTEURS;;
61370;Fonctionnement;REMUNERATIONS DU SYNDIC;FRAIS DE GESTION;; 
61370;Fonctionnement;REMUNERATIONS DU SYNDIC;HONORAIRE DE SYNDIC;;
61410;Fonctionnement;COMMISSION BANCAIRE;FRAIS DE TENUE DE COMPTE;;
61384;Fonctionnement;ENTRETIEN PISCINE;MOD SANS PDS;;
65110;INVESSTISSEMENT;AIR DE JEUX;CAMÉRA;;
61381;Fonctionnement;NETTOYAGE;CHARGE SOCIAL - CNSS;;
61110;Fonctionnement;EAU;CONSOMMATION EAU;;
61120;Fonctionnement;ELECTRICITE;CONSOMMATION ELECTRICITE;;
61350;Fonctionnement;DIVERS ENTRETIENS;PUIT;;
61350;Fonctionnement;DIVERS ENTRETIENS;PORTES AUTOMATIQUES;;
65110;INVESSTISSEMENT;AIR DE JEUX;AIR DE JEUX;;
65110;INVESSTISSEMENT;IRRIGATION;IRRIGATION;;
65110;INVESSTISSEMENT;PEINTURE;PEINTURE;;
61350;Fonctionnement;DIVERS ENTRETIENS;ANTENNE PARABOLIQUE;;
65110;INVESSTISSEMENT;EXTRACTEURS;EXTRACTEURS;;
61350;Fonctionnement;DIVERS ENTRETIENS;TRAVAUX DE PLOMBERIE - MAT + MOD;;
61350;Fonctionnement;DIVERS ENTRETIENS;TRAVAUX DE PEINTURE;;
61340;Fonctionnement;MAINTENANCE;RECHARGE DES EXTINCTEURS;;
61350;Fonctionnement;DIVERS ENTRETIENS;TRAVAUX DE FORGERON;;
61350;Fonctionnement;DIVERS ENTRETIENS;TRAVAUX DE FORGERON;;
61350;Fonctionnement;DIVERS ENTRETIENS;TRAVAUX DE CONSTRUCTION;;
61350;Fonctionnement;DIVERS ENTRETIENS;TRAVAUX ALUMINIUM;;
61350;Fonctionnement;DIVERS ENTRETIENS;TRAVAUX DE MENUISERIES;;
61350;Fonctionnement;DIVERS ENTRETIENS;POLISSAGE DU MARBRE;;
61381;Fonctionnement;NETTOYAGE;PRODUITS DE MENAGE;;
61386;Fonctionnement;FEDERAL;TRAVAUX DE FEDERAL;;
61340;Fonctionnement;MAINTENANCE;PIECES DE RECHANGE POUR ASCENSEURS;;
61350;Fonctionnement;DIVERS ENTRETIENS;LA COLLE POUR LES TOIS;;
65110;INVESSTISSEMENT;PORTE GARAGE;CHANGEMENT DE LA PORTE GARAGE;;
61430;Fonctionnement;JURIDIQUE;ORGANISATION AG;;
